domain,task,proposal_active,fallback_policy,candidate_policy,predicted_advantage,support_radius,reason
or_gym_online_knapsack,ExternalKnapsack-confirmation-c210-h35-balanced-s31000-v0,True,ratio_threshold_1_25,dynamic_reserve,60.102932632695165,1.4186505716505542,positive_fit_prediction_pending_pilot_verification
or_gym_online_knapsack,ExternalKnapsack-confirmation-c210-h35-bulky-s31001-v0,True,ratio_threshold_1_25,dynamic_reserve,83.08343325019072,1.4186505716505542,positive_fit_prediction_pending_pilot_verification
or_gym_online_knapsack,ExternalKnapsack-confirmation-c210-h35-volatile-s31002-v0,True,ratio_threshold_1_25,dynamic_reserve,139.13411374815635,1.4186505716505542,positive_fit_prediction_pending_pilot_verification
or_gym_online_knapsack,ExternalKnapsack-confirmation-c210-h55-balanced-s31003-v0,True,ratio_threshold_1_25,dynamic_reserve,76.04714086124854,1.4186505716505542,positive_fit_prediction_pending_pilot_verification
or_gym_online_knapsack,ExternalKnapsack-confirmation-c210-h55-bulky-s31004-v0,True,ratio_threshold_1_25,dynamic_reserve,88.38977300396284,1.4186505716505542,positive_fit_prediction_pending_pilot_verification
or_gym_online_knapsack,ExternalKnapsack-confirmation-c210-h55-volatile-s31005-v0,True,ratio_threshold_1_25,dynamic_reserve,141.80358838684333,1.4186505716505542,positive_fit_prediction_pending_pilot_verification
or_gym_online_knapsack,ExternalKnapsack-confirmation-c330-h35-balanced-s31006-v0,True,ratio_threshold_1_25,dynamic_reserve,51.41017083700236,1.4186505716505542,positive_fit_prediction_pending_pilot_verification
or_gym_online_knapsack,ExternalKnapsack-confirmation-c330-h35-bulky-s31007-v0,True,ratio_threshold_1_25,dynamic_reserve,79.49121719762411,1.4186505716505542,positive_fit_prediction_pending_pilot_verification
or_gym_online_knapsack,ExternalKnapsack-confirmation-c330-h35-volatile-s31008-v0,True,ratio_threshold_1_25,dynamic_reserve,134.8694845838337,1.4186505716505542,positive_fit_prediction_pending_pilot_verification
or_gym_online_knapsack,ExternalKnapsack-confirmation-c330-h55-balanced-s31009-v0,True,ratio_threshold_1_25,dynamic_reserve,76.52815114887726,1.4186505716505542,positive_fit_prediction_pending_pilot_verification
or_gym_online_knapsack,ExternalKnapsack-confirmation-c330-h55-bulky-s31010-v0,True,ratio_threshold_1_25,dynamic_reserve,96.3801662311698,1.4186505716505542,positive_fit_prediction_pending_pilot_verification
or_gym_online_knapsack,ExternalKnapsack-confirmation-c330-h55-volatile-s31011-v0,True,ratio_threshold_1_25,dynamic_reserve,151.89690415607208,1.4186505716505542,positive_fit_prediction_pending_pilot_verification
