domain,task,proposal_active,fallback_policy,candidate_policy,predicted_advantage,support_radius,reason
gymnasium_frozenlake,ExternalFrozenLake-confirmation-m4-det-r35-v0,False,nominal_value_iteration,hazard_averse_value_iteration,,,outside_calibration_support
gymnasium_frozenlake,ExternalFrozenLake-confirmation-m4-det-r55-v0,False,nominal_value_iteration,hazard_averse_value_iteration,0.0,0.5220153254455275,fit_prediction_below_margin
gymnasium_frozenlake,ExternalFrozenLake-confirmation-m4-det-r75-v0,False,nominal_value_iteration,hazard_averse_value_iteration,0.0,0.5220153254455275,fit_prediction_below_margin
gymnasium_frozenlake,ExternalFrozenLake-confirmation-m4-slip-r35-v0,False,nominal_value_iteration,hazard_averse_value_iteration,,,outside_calibration_support
gymnasium_frozenlake,ExternalFrozenLake-confirmation-m4-slip-r55-v0,True,nominal_value_iteration,hazard_averse_value_iteration,13.086985406641062,0.5220153254455275,positive_fit_prediction_pending_pilot_verification
gymnasium_frozenlake,ExternalFrozenLake-confirmation-m4-slip-r75-v0,True,nominal_value_iteration,hazard_averse_value_iteration,21.772937543086144,0.5220153254455275,positive_fit_prediction_pending_pilot_verification
gymnasium_frozenlake,ExternalFrozenLake-confirmation-m8-det-r35-v0,False,nominal_value_iteration,hazard_averse_value_iteration,,,outside_calibration_support
gymnasium_frozenlake,ExternalFrozenLake-confirmation-m8-det-r55-v0,False,nominal_value_iteration,hazard_averse_value_iteration,0.0,0.5220153254455275,fit_prediction_below_margin
gymnasium_frozenlake,ExternalFrozenLake-confirmation-m8-det-r75-v0,False,nominal_value_iteration,hazard_averse_value_iteration,0.0,0.5220153254455275,fit_prediction_below_margin
gymnasium_frozenlake,ExternalFrozenLake-confirmation-m8-slip-r35-v0,False,nominal_value_iteration,hazard_averse_value_iteration,,,outside_calibration_support
gymnasium_frozenlake,ExternalFrozenLake-confirmation-m8-slip-r55-v0,True,nominal_value_iteration,hazard_averse_value_iteration,34.717386956168085,0.5220153254455275,positive_fit_prediction_pending_pilot_verification
gymnasium_frozenlake,ExternalFrozenLake-confirmation-m8-slip-r75-v0,True,nominal_value_iteration,hazard_averse_value_iteration,37.625705421110105,0.5220153254455275,positive_fit_prediction_pending_pilot_verification
or_gym_online_knapsack,ExternalKnapsack-confirmation-c210-h35-balanced-s31000-v0,True,ratio_threshold_1_25,dynamic_reserve,60.102932632695165,1.4186505716505542,positive_fit_prediction_pending_pilot_verification
or_gym_online_knapsack,ExternalKnapsack-confirmation-c210-h35-bulky-s31001-v0,True,ratio_threshold_1_25,dynamic_reserve,83.08343325019072,1.4186505716505542,positive_fit_prediction_pending_pilot_verification
or_gym_online_knapsack,ExternalKnapsack-confirmation-c210-h35-volatile-s31002-v0,True,ratio_threshold_1_25,dynamic_reserve,139.13411374815635,1.4186505716505542,positive_fit_prediction_pending_pilot_verification
or_gym_online_knapsack,ExternalKnapsack-confirmation-c210-h55-balanced-s31003-v0,True,ratio_threshold_1_25,dynamic_reserve,76.04714086124854,1.4186505716505542,positive_fit_prediction_pending_pilot_verification
or_gym_online_knapsack,ExternalKnapsack-confirmation-c210-h55-bulky-s31004-v0,True,ratio_threshold_1_25,dynamic_reserve,88.38977300396284,1.4186505716505542,positive_fit_prediction_pending_pilot_verification
or_gym_online_knapsack,ExternalKnapsack-confirmation-c210-h55-volatile-s31005-v0,True,ratio_threshold_1_25,dynamic_reserve,141.80358838684333,1.4186505716505542,positive_fit_prediction_pending_pilot_verification
